
11565
11565
T292 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS485
T296 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS479
T301 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS480
T306 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS485
T310 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS486
T314 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS482
T318 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS479
T323 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS481
T327 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS486
T331 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS485
T335 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS479
T340 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS480
T345 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS484
T349 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS486
T353 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T357 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS479
T362 PH0.00 LV0.00 AV0.00 CU-103.00 FA0 FB0 PS480
T366 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS486
T370 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS486
T374 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS482
T379 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS480
T384 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T388 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS487
T392 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS485
T397 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS479
T401 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS480
T405 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS485
T409 PH0.00 LV0.00 AV0.00 CU-103.00 FA0 FB0 PS486
T414 PH0.00 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS483
T418 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS479
T422 PH0.00 LV0.00 AV0.00 CU-103.00 FA0 FB0 PS481
T427 PH0.00 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS487
T431 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS485
T436 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS480
T440 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS480
T444 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS483
T448 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS485
T453 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS483
T457 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS477
T461 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS478
T465 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T471 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS484
T475 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS480
T479 PH0.39 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS478
T483 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS480
