
T4321 PH0.79 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1640.00 FA0 FB0 PS231
T4397 PH0.79 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS233
T4472 PH0.79 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS235
T4548 PH0.79 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS232
T4624 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1640.00 FA0 FB0 PS231
T4701 PH1.18 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1640.00 FA0 FB0 PS231
T4776 PH1.18 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS233
T4852 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS235
T4928 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS232
T5004 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1640.00 FA0 FB0 PS230
T5080 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1646.00 FA0 FB0 PS231
T5155 PH1.18 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS233
T5232 PH1.18 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS234
T5308 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS231
T5384 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1610.00 FA0 FB0 PS229
T5459 PH1.18 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS231
T5535 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS233
T5611 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS233
T5687 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS231
T5764 PH1.18 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1640.00 FA0 FB0 PS229
T5839 PH1.18 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS231
T5915 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T5991 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS232
T6067 PH1.18 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS230
T6142 PH1.18 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1646.00 FA0 FB0 PS229
T6218 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS237
T6295 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS233
T6371 PH1.57 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T6447 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS230
T6522 PH1.57 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS230
T6598 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS232
T6674 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T6750 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T6825 PH1.57 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1646.00 FA0 FB0 PS229
T6902 PH1.57 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS230
T6978 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T7054 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T7130 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T7205 PH1.57 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1646.00 FA0 FB0 PS229
T7281 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS230
T7357 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T7434 PH1.57 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T7510 PH1.57 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T7585 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1646.00 FA0 FB0 PS229
T7661 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T7737 PH1.57 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T7813 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T7888 PH1.97 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T7965 PH1.97 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T8041 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T8117 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS233
T8193 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T8268 PH1.97 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T8344 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T8420 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T8497 PH1.97 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS233
T8572 PH1.97 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T8648 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T8724 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS230
T8800 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T8876 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS233
T8951 PH1.97 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS231
T9028 PH1.97 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T9104 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS230
T9180 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS232
T9255 PH1.97 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1634.00 FA0 FB0 PS231
T9331 PH1.97 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T9407 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS228
T9483 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T9560 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS232
T9635 PH2.36 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS231
T9711 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T9787 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS228
T9863 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T9938 PH2.36 PL100.00 R0 DT75 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS232
T10014 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS231
T10092 PH2.36 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T10169 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS228
T10246 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS229
T10322 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS230
T10399 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS232
T10476 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T10553 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T10631 PH2.36 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T10707 PH2.36 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS228
T10784 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T10861 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS231
T10938 PH2.36 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS237
T11015 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS231
T11092 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T11169 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS228
T11246 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T11323 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS231
T11400 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS232
T11476 PH2.76 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS231
T11554 PH2.76 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T11631 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T11708 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS229
T11785 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T11862 PH2.76 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS232
T11938 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS233
T12015 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T12093 PH2.76 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T12170 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T12247 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T12323 PH2.76 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T12400 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1675.00 FA0 FB0 PS233
T12477 PH2.76 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T12555 PH2.76 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T12632 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T12708 PH3.15 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T12785 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T12862 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1640.00 FA0 FB0 PS232
T12939 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T13016 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T13093 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1646.00 FA0 FB0 PS229
T13170 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T13247 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS230
T13324 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T13401 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T13477 PH3.15 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T13555 PH3.15 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T13632 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T13709 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS230
T13786 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T13862 PH3.15 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T13939 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T14017 PH3.15 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS231
T14094 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T14171 PH3.15 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS230
T14247 PH3.54 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T14324 PH3.54 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1669.00 FA0 FB0 PS232
T14401 PH3.54 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1663.00 FA0 FB0 PS231
T14478 PH3.54 PL100.00 R0 DT77 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
T14556 PH3.54 PL100.00 R0 DT78 LV22.08 AV990.00 CU-1652.00 FA0 FB0 PS229
T14632 PH3.54 PL100.00 R0 DT76 LV22.08 AV990.00 CU-1657.00 FA0 FB0 PS229
