1747 0.02 100.00 0 0 0.00 0.00 1.25  0.00 0.01  1.00
1811 0.02 100.00 0 0 0.00 0.00 1.24  0.00 0.01  1.00
1874 0.02 100.00 0 0 0.00 0.00 1.23  0.00 0.01  1.00
1938 0.02 100.00 0 0 0.00 0.00 1.21  0.00 0.01  1.00
2001 0.02 100.00 0 0 0.00 0.00 1.21  0.00 0.01  1.00
2065 0.02 100.00 0 0 0.00 0.00 1.22  0.00 0.01  1.00
2128 0.02 100.00 0 0 0.00 0.00 1.23  0.00 0.01  1.00
2192 0.02 100.00 0 0 0.00 0.00 1.22  0.00 0.01  1.00
2255 0.02 100.00 0 0 0.00 0.00 1.21  0.00 0.01  1.00
2319 0.02 100.00 0 0 0.00 0.00 1.20  0.00 0.01  1.00
2382 0.02 100.00 0 0 0.00 0.00 1.20  0.00 0.01  1.00
2446 0.02 100.00 0 0 0.00 0.00 1.20  0.00 0.01  1.00
2509 0.02 100.00 0 0 0.00 0.00 1.22  0.00 0.01  1.00
2573 0.03 100.00 0 0 0.00 0.00 1.21  0.00 0.01  1.00
2636 0.03 100.00 0 0 0.00 0.00 1.20  0.00 0.01  1.00
2700 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
2763 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
2827 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
2889 0.03 100.00 0 0 0.00 0.00 1.21  0.00 0.01  1.00
2953 0.03 100.00 0 0 0.00 0.00 1.20  0.00 0.01  1.00
3016 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
3080 0.03 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
3143 0.03 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
3207 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
3270 0.03 100.00 0 0 0.00 0.00 1.20  0.00 0.01  1.00
3334 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
3397 0.03 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
3461 0.03 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
3524 0.03 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
3588 0.03 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
3651 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
3715 0.03 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
3778 0.03 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
3842 0.03 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
3905 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
3969 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
4032 0.05 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
4096 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
4159 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
4222 0.05 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
4285 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
4348 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
4412 0.05 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
4475 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
4539 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
4602 0.05 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
4666 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
4729 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
4793 0.05 100.00 0 0 0.00 0.00 1.19  0.00 0.01  1.00
4856 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
4920 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
4983 0.05 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
