4 0.00 0.00 0.00 0 1.29 257 0 0.00  0.00 0.00 3.50 0.00
57 0.00 0.00 0.00 0 1.27 246 0 0.00  0.00 0.00 3.50 0.00
120 0.00 0.00 0.00 0 1.22 243 0 0.00  0.00 0.00 3.50 0.00
185 0.00 0.00 0.00 0 1.16 243 0 0.00  0.00 0.00 3.50 0.00
249 0.00 0.00 0.00 0 1.14 235 0 0.00  0.00 0.00 3.50 0.00
314 0.00 0.00 0.00 0 1.15 225 0 0.00  0.00 0.00 3.50 0.00
378 0.00 0.00 0.00 0 1.12 222 0 0.00  0.00 0.00 3.50 0.00
443 0.00 0.00 0.00 0 1.08 225 0 0.00  0.00 0.00 3.50 0.00
507 0.00 0.00 0.00 0 1.06 221 0 0.00  0.00 0.00 3.50 0.00
572 0.00 0.00 0.00 0 1.07 213 0 0.00  0.00 0.00 3.50 0.00
636 0.00 0.00 0.00 0 1.07 208 0 0.00  0.00 0.00 3.50 0.00
701 0.00 0.00 0.00 0 1.04 211 0 0.00  0.00 0.00 3.50 0.00
765 0.00 0.00 0.00 0 1.01 213 0 0.00  0.00 0.00 3.50 0.00
830 0.00 0.00 0.00 0 1.01 207 0 0.00  0.00 0.00 3.50 0.00
894 0.00 0.00 0.00 0 1.03 201 0 0.00  0.00 0.00 3.50 0.00
959 0.00 0.00 0.00 0 1.01 202 0 0.00  0.00 0.00 3.50 0.00
1024 0.00 0.00 0.00 0 0.98 207 0 0.00  0.00 0.00 3.50 0.00
1088 0.00 0.00 0.00 0 0.98 202 0 0.00  0.00 0.00 3.50 0.00
1154 0.00 0.00 0.00 0 1.01 197 0 0.00  0.00 0.00 3.50 0.00
1219 0.00 0.00 0.00 0 0.98 203 0 0.00  0.00 0.00 3.50 0.00
1285 0.00 0.00 0.00 0 0.96 202 0 0.00  0.00 0.00 3.50 0.00
1350 0.00 0.00 0.00 0 0.99 194 0 0.00  0.00 0.00 3.50 0.00
1416 0.00 0.00 0.00 0 0.99 196 0 0.00  0.00 0.00 3.50 0.00
1481 0.00 0.00 0.00 0 0.95 201 0 0.00  0.00 0.00 3.50 0.00
1547 0.00 0.00 0.00 0 0.96 197 0 0.00  0.00 0.00 3.50 0.00
1612 0.00 0.00 0.00 0 0.98 192 0 0.00  0.00 0.00 3.50 0.00
1678 0.00 0.00 0.00 0 0.97 197 0 0.00  0.00 0.00 3.50 0.00
1743 0.00 0.00 0.00 0 0.94 199 0 0.00  0.00 0.00 3.50 0.00
1809 0.00 0.00 0.00 0 0.97 192 0 0.00  0.00 0.00 3.50 0.00
1874 0.00 0.00 0.00 0 0.97 193 0 0.00  0.00 0.00 3.50 0.00
1940 0.00 0.00 0.00 0 0.94 199 0 0.00  0.00 0.00 3.50 0.00
2006 0.00 0.00 0.00 0 0.94 196 0 0.00  0.00 0.00 3.50 0.00
2071 0.00 0.00 0.00 0 0.97 190 0 0.00  0.00 0.00 3.50 0.00
2137 0.00 0.00 0.00 0 0.96 195 0 0.00  0.00 0.00 3.50 0.00
2202 0.00 0.00 0.00 0 0.93 198 0 0.00  0.00 0.00 3.50 0.00
2268 0.00 0.00 0.00 0 0.95 191 0 0.00  0.00 0.00 3.50 0.00
2333 0.00 0.00 0.00 0 0.97 191 0 0.00  0.00 0.00 3.50 0.00
2399 0.00 0.00 0.00 0 0.94 198 0 0.00  0.00 0.00 3.50 0.00
2464 0.00 0.00 0.00 0 0.94 195 0 0.00  0.00 0.00 3.50 0.00
2530 10.00 0.00 0.00 0 0.97 190 0 0.00  0.00 0.00 3.50 0.00
2596 10.00 0.00 0.00 0 0.95 201 0 0.00  0.00 0.00 3.50 0.00
2663 10.00 0.00 0.00 1 0.91 195 0 0.00  0.00 0.00 3.50 0.00
2729 10.00 0.00 0.00 1 0.96 190 0 0.00  0.00 0.00 3.50 0.00
2796 10.00 0.00 0.00 1 0.95 196 0 0.00  0.00 0.00 3.50 0.00
2863 10.00 0.00 0.00 1 0.93 195 0 0.00  0.00 0.00 3.50 0.00
2929 10.00 0.00 0.00 1 0.96 189 0 0.00  0.00 0.00 3.50 0.00
2996 10.00 0.00 0.00 1 0.97 196 0 0.00  0.00 0.00 3.50 0.00
3062 10.00 0.00 0.00 1 0.93 194 0 0.00  0.00 0.00 3.50 0.00
3129 10.00 0.14 6.28 0 0.96 189 0 0.00  0.00 0.00 3.50 0.14
3195 10.00 0.14 6.28 0 0.94 196 0 0.00  0.00 0.00 3.50 0.14
3262 10.00 0.14 6.28 1 0.91 194 0 0.00  0.00 0.00 3.50 0.14
3329 10.00 0.14 6.28 1 0.96 189 0 0.00  0.00 0.00 3.50 0.14
3395 10.00 0.14 6.28 1 0.94 196 0 0.00  0.00 0.00 3.50 0.14
3462 10.00 0.14 6.28 1 0.93 194 0 0.00  0.00 0.00 3.50 0.14
3528 10.00 0.14 6.28 1 0.99 188 0 0.00  0.00 0.00 3.50 0.14
3595 10.00 0.14 6.28 1 0.95 196 0 0.00  0.00 0.00 3.50 0.14
3661 10.00 0.14 6.28 0 0.93 194 0 0.00  0.00 0.00 3.50 0.14
3728 10.00 0.14 6.28 0 0.96 189 0 0.00  0.00 0.00 3.50 0.14
3794 10.00 0.14 6.28 0 0.95 193 0 0.00  0.00 0.00 3.50 0.14
3861 10.00 0.14 6.28 1 0.91 194 0 0.00  0.00 0.00 3.50 0.14
3928 10.00 0.14 6.28 1 0.96 189 0 0.00  0.00 0.00 3.50 0.14
3994 10.00 0.14 6.28 1 0.95 196 0 0.00  0.00 0.00 3.50 0.14
4061 10.00 0.14 6.28 1 0.93 194 0 0.00  0.00 0.00 3.50 0.14
4127 10.00 0.14 6.28 1 0.96 189 0 0.00  0.00 0.00 3.50 0.14
4194 10.00 0.14 6.28 0 0.95 196 0 0.00  0.00 0.00 3.50 0.14
4260 10.00 0.14 6.28 0 0.93 194 0 0.00  0.00 0.00 3.50 0.14
4327 10.00 0.14 6.28 0 0.96 189 0 0.00  0.00 0.00 3.50 0.14
4393 10.00 0.14 6.28 0 0.94 193 0 0.00  0.00 0.00 3.50 0.14
4460 10.00 0.14 6.28 1 0.91 194 0 0.00  0.00 0.00 3.50 0.14
4527 10.00 0.14 6.28 1 0.96 189 0 0.00  0.00 0.00 3.50 0.14
4593 10.00 0.14 6.28 1 0.94 197 0 0.00  0.00 0.00 3.50 0.14
4660 10.00 0.14 6.28 1 0.93 194 0 0.00  0.00 0.00 3.50 0.14
4726 10.00 0.14 6.28 0 0.96 189 0 0.00  0.00 0.00 3.50 0.14
4793 10.00 0.14 6.28 0 0.94 196 0 0.00  0.00 0.00 3.50 0.14
4859 10.00 0.14 6.28 0 0.93 193 0 0.00  0.00 0.00 3.50 0.14
4926 10.00 0.14 6.28 0 0.96 189 0 0.00  0.00 0.00 3.50 0.14
4993 10.00 0.14 6.28 0 0.94 193 0 0.00  0.00 0.00 3.50 0.14
5059 10.00 0.14 6.28 1 0.93 193 0 0.00  0.00 0.00 3.50 0.14
5126 10.00 0.14 6.28 1 0.96 189 0 0.00  0.00 0.00 3.50 0.14
5192 0.00 0.14 6.28 1 0.94 196 0 0.00  0.00 0.00 3.50 0.14
5258 0.00 0.14 6.28 0 0.93 195 0 0.00  0.00 0.00 3.50 0.14
5323 0.00 0.14 6.28 0 0.96 189 0 0.00  0.00 0.00 3.50 0.14
5389 0.00 0.14 6.28 0 0.96 191 0 0.00  0.00 0.00 3.50 0.14
5454 0.00 0.14 6.28 0 0.93 197 0 0.00  0.00 0.00 3.50 0.14
5520 0.00 0.14 6.28 0 0.94 193 0 0.00  0.00 0.00 3.50 0.14
5585 0.00 0.14 6.28 0 0.96 188 0 0.00  0.00 0.00 3.50 0.14
5651 0.00 0.14 6.28 0 0.95 195 0 0.00  0.00 0.00 3.50 0.14
5716 0.00 0.14 6.28 0 0.93 195 0 0.00  0.00 0.00 3.50 0.14
5782 0.00 0.00 0.00 0 0.95 189 0 0.00  0.00 0.00 3.50 0.00
5848 0.00 0.00 0.00 0 0.96 191 0 0.00  0.00 0.00 3.50 0.00
5913 0.00 0.00 0.00 0 0.93 197 0 0.00  0.00 0.00 3.50 0.00
5979 0.00 0.00 0.00 0 0.93 193 0 0.00  0.00 0.00 3.50 0.00
6044 0.00 0.00 0.00 0 0.96 189 0 0.00  0.00 0.00 3.50 0.00
6110 0.00 0.00 0.00 0 0.95 194 0 0.00  0.00 0.00 3.50 0.00
6175 0.00 0.00 0.00 0 0.93 196 0 0.00  0.00 0.00 3.50 0.00
6241 0.00 0.00 0.00 0 0.95 189 0 0.00  0.00 0.00 3.50 0.00
6306 0.00 0.00 0.00 0 0.96 190 0 0.00  0.00 0.00 3.50 0.00
6372 0.00 0.00 0.00 0 0.93 196 0 0.00  0.00 0.00 3.50 0.00
6437 0.00 0.00 0.00 0 0.93 193 0 0.00  0.00 0.00 3.50 0.00
6503 0.00 0.00 0.00 0 0.96 189 0 0.00  0.00 0.00 3.50 0.00
6568 0.00 0.00 0.00 0 0.95 192 0 0.00  0.00 0.00 3.50 0.00
6634 0.00 0.00 0.00 0 0.92 196 0 0.00  0.00 0.00 3.50 0.00
6700 0.00 0.00 0.00 0 0.94 189 0 0.00  0.00 0.00 3.50 0.00
6765 0.00 0.00 0.00 0 0.96 189 0 0.00  0.00 0.00 3.50 0.00
6831 0.00 0.00 0.00 0 0.93 196 0 0.00  0.00 0.00 3.50 0.00
6896 0.00 0.00 0.00 0 0.93 193 0 0.00  0.00 0.00 3.50 0.00
6962 0.00 0.00 0.00 0 0.96 188 0 0.00  0.00 0.00 3.50 0.00
7027 0.00 0.00 0.00 0 0.95 191 0 0.00  0.00 0.00 3.50 0.00
7093 0.00 0.00 0.00 0 0.92 196 0 0.00  0.00 0.00 3.50 0.00
7158 0.00 0.00 0.00 0 0.94 190 0 0.00  0.00 0.00 3.50 0.00
7224 0.00 0.00 0.00 0 0.96 189 0 0.00  0.00 0.00 3.50 0.00
7289 0.00 0.00 0.00 0 0.93 196 0 0.00  0.00 0.00 3.50 0.00
7355 0.00 0.00 0.00 0 0.93 194 0 0.00  0.00 0.00 3.50 0.00
7420 0.00 0.00 0.00 0 0.96 188 0 0.00  0.00 0.00 3.50 0.00
7486 0.00 0.00 0.00 0 0.95 191 0 0.00  0.00 0.00 3.50 0.00
7552 0.00 0.00 0.00 0 0.92 197 0 0.00  0.00 0.00 3.50 0.00
7617 0.00 0.00 0.00 0 0.94 191 0 0.00  0.00 0.00 3.50 0.00
7683 0.00 0.00 0.00 0 0.96 189 0 0.00  0.00 0.00 3.50 0.00
7748 0.00 0.00 0.00 0 0.94 196 0 0.00  0.00 0.00 3.50 0.00
7814 0.00 0.00 0.00 0 0.93 195 0 0.00  0.00 0.00 3.50 0.00
7879 20.00 0.00 0.00 0 0.96 188 0 0.00  0.00 0.00 3.50 0.00
